,Method,L2 Error,Time
0,ELM (Power Law),0.0014266595244407654,0.9255650043487549
1,ELM (Gaussian),0.2039027065038681,0.8000218868255615
2,PINN (Light),0.006167291663587093,9.079487085342407
3,ELM (Power Law),0.07219438999891281,0.8102400302886963
4,ELM (Gaussian),0.10347321629524231,0.7789938449859619
5,PINN (Light),0.006657194346189499,9.250289916992188
6,ELM (Power Law),0.017058013007044792,0.7833209037780762
7,ELM (Gaussian),0.10275309532880783,0.7638101577758789
8,PINN (Light),0.005632761865854263,9.153027057647705
9,ELM (Power Law),0.07127224653959274,0.8039708137512207
10,ELM (Gaussian),0.6057748198509216,0.7694511413574219
11,PINN (Light),0.006351484451442957,9.389355897903442
12,ELM (Power Law),0.0051155393011868,0.7761270999908447
13,ELM (Gaussian),0.6676242351531982,0.7742030620574951
14,PINN (Light),0.008318101987242699,9.616460084915161
15,ELM (Power Law),0.0776405856013298,0.7878451347351074
16,ELM (Gaussian),0.4652402698993683,0.7712609767913818
17,PINN (Light),0.007500851526856422,9.396897077560425
18,ELM (Power Law),0.015185610391199589,0.8329501152038574
19,ELM (Gaussian),0.09382973611354828,0.8540868759155273
20,PINN (Light),0.006717233918607235,10.846399068832397
21,ELM (Power Law),0.00621888879686594,0.8765788078308105
22,ELM (Gaussian),0.3315669000148773,0.8442559242248535
23,PINN (Light),0.006129459477961063,11.143800973892212
24,ELM (Power Law),0.12283894419670105,0.8920249938964844
25,ELM (Gaussian),0.5879923105239868,0.7898871898651123
26,PINN (Light),0.009505568072199821,11.264510869979858
27,ELM (Power Law),0.012504260055720806,0.9286139011383057
28,ELM (Gaussian),0.1025262251496315,0.8142988681793213
29,PINN (Light),0.005446145310997963,9.434187173843384
30,ELM (Power Law),0.5540459156036377,0.8674440383911133
31,ELM (Gaussian),0.09765035659074783,0.7956552505493164
32,PINN (Light),0.005214453674852848,9.554250955581665
33,ELM (Power Law),0.9652784466743469,0.8328182697296143
34,ELM (Gaussian),0.0954471230506897,0.7935009002685547
35,PINN (Light),0.006890227552503347,9.224878787994385
36,ELM (Power Law),0.012634246610105038,0.8054001331329346
37,ELM (Gaussian),0.19749842584133148,0.7808349132537842
38,PINN (Light),0.0056283981539309025,10.419167041778564
39,ELM (Power Law),0.01685485802590847,0.8586549758911133
40,ELM (Gaussian),0.09418240189552307,0.8326702117919922
41,PINN (Light),0.0051962281577289104,10.405004978179932
42,ELM (Power Law),0.0030503319576382637,0.8987369537353516
43,ELM (Gaussian),0.7268096804618835,0.8372170925140381
44,PINN (Light),0.004963984247297049,10.591576099395752
45,ELM (Power Law),0.04864872246980667,0.812628984451294
46,ELM (Gaussian),0.09567069262266159,0.7989089488983154
47,PINN (Light),0.006402174476534128,9.133965730667114
48,ELM (Power Law),0.02378980815410614,0.7480137348175049
49,ELM (Gaussian),4.5876264572143555,0.7326240539550781
50,PINN (Light),0.005436034873127937,9.27042007446289
51,ELM (Power Law),0.0675918459892273,0.9544460773468018
52,ELM (Gaussian),0.8658967018127441,0.8080508708953857
53,PINN (Light),0.0068243108689785,9.256356239318848
54,ELM (Power Law),0.003601368051022291,0.8747880458831787
55,ELM (Gaussian),0.24109606444835663,0.7715229988098145
56,PINN (Light),0.005656634923070669,9.306742906570435
57,ELM (Power Law),0.0409388430416584,0.8032519817352295
58,ELM (Gaussian),0.09713742882013321,0.7545449733734131
59,PINN (Light),0.005248751491308212,9.485082864761353
